State,Year_x,Month_x,Rain,Month_Year,Year_y,Month_y,Flood,Area
Bihar,1901,7,245.9,7/1901,,,,
Bihar,1901,8,319.4,8/1901,,,,
Bihar,1901,9,155.1,9/1901,,,,
Bihar,1901,10,8.3,10/1901,,,,
Bihar,1902,7,361.0,7/1902,,,,
Bihar,1902,8,225.5,8/1902,,,,
Bihar,1902,9,358.7,9/1902,,,,
Bihar,1902,10,28.5,10/1902,,,,
Bihar,1903,7,115.0,7/1903,,,,
Bihar,1903,8,342.6,8/1903,,,,
Bihar,1903,9,173.9,9/1903,,,,
Bihar,1903,10,147.0,10/1903,,,,
Bihar,1904,7,394.4,7/1904,,,,
Bihar,1904,8,351.3,8/1904,,,,
Bihar,1904,9,84.4,9/1904,,,,
Bihar,1904,10,98.1,10/1904,,,,
Bihar,1905,7,409.1,7/1905,,,,
Bihar,1905,8,495.3,8/1905,,,,
Bihar,1905,9,353.9,9/1905,,,,
Bihar,1905,10,11.6,10/1905,,,,
Bihar,1906,7,366.2,7/1906,,,,
Bihar,1906,8,430.1,8/1906,,,,
Bihar,1906,9,118.7,9/1906,,,,
Bihar,1906,10,32.9,10/1906,,,,
Bihar,1907,7,282.4,7/1907,,,,
Bihar,1907,8,242.2,8/1907,,,,
Bihar,1907,9,206.9,9/1907,,,,
Bihar,1907,10,4.8,10/1907,,,,
Bihar,1908,7,202.3,7/1908,,,,
Bihar,1908,8,167.3,8/1908,,,,
Bihar,1908,9,149.9,9/1908,,,,
Bihar,1908,10,25.4,10/1908,,,,
Bihar,1909,7,256.2,7/1909,,,,
Bihar,1909,8,352.4,8/1909,,,,
Bihar,1909,9,175.4,9/1909,,,,
Bihar,1909,10,43.1,10/1909,,,,
Bihar,1910,7,365.1,7/1910,,,,
Bihar,1910,8,328.8,8/1910,,,,
Bihar,1910,9,258.5,9/1910,,,,
Bihar,1910,10,73.8,10/1910,,,,
Bihar,1911,7,199.0,7/1911,,,,
Bihar,1911,8,425.5,8/1911,,,,
Bihar,1911,9,279.1,9/1911,,,,
Bihar,1911,10,122.8,10/1911,,,,
Bihar,1912,7,362.4,7/1912,,,,
Bihar,1912,8,302.9,8/1912,,,,
Bihar,1912,9,104.7,9/1912,,,,
Bihar,1912,10,14.0,10/1912,,,,
Bihar,1913,7,258.8,7/1913,,,,
Bihar,1913,8,363.0,8/1913,,,,
Bihar,1913,9,270.3,9/1913,,,,
Bihar,1913,10,61.0,10/1913,,,,
Bihar,1914,7,269.1,7/1914,,,,
Bihar,1914,8,460.4,8/1914,,,,
Bihar,1914,9,98.4,9/1914,,,,
Bihar,1914,10,10.1,10/1914,,,,
Bihar,1915,7,321.3,7/1915,,,,
Bihar,1915,8,415.0,8/1915,,,,
Bihar,1915,9,185.1,9/1915,,,,
Bihar,1915,10,75.3,10/1915,,,,
Bihar,1916,7,445.6,7/1916,,,,
Bihar,1916,8,325.2,8/1916,,,,
Bihar,1916,9,265.2,9/1916,,,,
Bihar,1916,10,130.1,10/1916,,,,
Bihar,1917,7,328.7,7/1917,,,,
Bihar,1917,8,249.3,8/1917,,,,
Bihar,1917,9,272.1,9/1917,,,,
Bihar,1917,10,116.5,10/1917,,,,
Bihar,1918,7,240.3,7/1918,,,,
Bihar,1918,8,519.2,8/1918,,,,
Bihar,1918,9,254.4,9/1918,,,,
Bihar,1918,10,8.6,10/1918,,,,
Bihar,1919,7,417.8,7/1919,,,,
Bihar,1919,8,230.1,8/1919,,,,
Bihar,1919,9,244.8,9/1919,,,,
Bihar,1919,10,58.6,10/1919,,,,
Bihar,1920,7,361.6,7/1920,,,,
Bihar,1920,8,228.5,8/1920,,,,
Bihar,1920,9,337.6,9/1920,,,,
Bihar,1920,10,5.6,10/1920,,,,
Bihar,1921,7,303.8,7/1921,,,,
Bihar,1921,8,422.0,8/1921,,,,
Bihar,1921,9,295.8,9/1921,,,,
Bihar,1921,10,37.0,10/1921,,,,
Bihar,1922,7,427.3,7/1922,,,,
Bihar,1922,8,363.5,8/1922,,,,
Bihar,1922,9,241.3,9/1922,,,,
Bihar,1922,10,15.7,10/1922,,,,
Bihar,1923,7,253.9,7/1923,,,,
Bihar,1923,8,243.2,8/1923,,,,
Bihar,1923,9,148.9,9/1923,,,,
Bihar,1923,10,74.4,10/1923,,,,
Bihar,1924,7,514.0,7/1924,,,,
Bihar,1924,8,295.7,8/1924,,,,
Bihar,1924,9,320.3,9/1924,,,,
Bihar,1924,10,53.1,10/1924,,,,
Bihar,1925,7,322.9,7/1925,,,,
Bihar,1925,8,331.5,8/1925,,,,
Bihar,1925,9,269.4,9/1925,,,,
Bihar,1925,10,17.6,10/1925,,,,
Bihar,1926,7,451.5,7/1926,,,,
Bihar,1926,8,276.0,8/1926,,,,
Bihar,1926,9,211.6,9/1926,,,,
Bihar,1926,10,17.6,10/1926,,,,
Bihar,1927,7,301.5,7/1927,,,,
Bihar,1927,8,242.7,8/1927,,,,
Bihar,1927,9,231.4,9/1927,,,,
Bihar,1927,10,21.5,10/1927,,,,
Bihar,1928,7,377.2,7/1928,,,,
Bihar,1928,8,272.9,8/1928,,,,
Bihar,1928,9,83.3,9/1928,,,,
Bihar,1928,10,164.3,10/1928,,,,
Bihar,1929,7,328.8,7/1929,,,,
Bihar,1929,8,326.3,8/1929,,,,
Bihar,1929,9,124.7,9/1929,,,,
Bihar,1929,10,231.4,10/1929,,,,
Bihar,1930,7,298.2,7/1930,,,,
Bihar,1930,8,247.8,8/1930,,,,
Bihar,1930,9,290.9,9/1930,,,,
Bihar,1930,10,30.4,10/1930,,,,
Bihar,1931,7,441.3,7/1931,,,,
Bihar,1931,8,218.8,8/1931,,,,
Bihar,1931,9,248.2,9/1931,,,,
Bihar,1931,10,76.1,10/1931,,,,
Bihar,1932,7,164.3,7/1932,,,,
Bihar,1932,8,249.3,8/1932,,,,
Bihar,1932,9,191.2,9/1932,,,,
Bihar,1932,10,32.4,10/1932,,,,
Bihar,1933,7,377.3,7/1933,,,,
Bihar,1933,8,377.8,8/1933,,,,
Bihar,1933,9,167.8,9/1933,,,,
Bihar,1933,10,77.6,10/1933,,,,
Bihar,1934,7,432.6,7/1934,,,,
Bihar,1934,8,251.3,8/1934,,,,
Bihar,1934,9,231.2,9/1934,,,,
Bihar,1934,10,55.2,10/1934,,,,
Bihar,1935,7,193.8,7/1935,,,,
Bihar,1935,8,481.7,8/1935,,,,
Bihar,1935,9,370.3,9/1935,,,,
Bihar,1935,10,2.6,10/1935,,,,
Bihar,1936,7,462.2,7/1936,,,,
Bihar,1936,8,261.5,8/1936,,,,
Bihar,1936,9,449.2,9/1936,,,,
Bihar,1936,10,88.8,10/1936,,,,
Bihar,1937,7,217.9,7/1937,,,,
Bihar,1937,8,441.8,8/1937,,,,
Bihar,1937,9,179.3,9/1937,,,,
Bihar,1937,10,194.6,10/1937,,,,
Bihar,1938,7,362.1,7/1938,,,,
Bihar,1938,8,385.1,8/1938,,,,
Bihar,1938,9,201.4,9/1938,,,,
Bihar,1938,10,27.1,10/1938,,,,
Bihar,1939,7,315.0,7/1939,,,,
Bihar,1939,8,277.1,8/1939,,,,
Bihar,1939,9,262.0,9/1939,,,,
Bihar,1939,10,56.9,10/1939,,,,
Bihar,1940,7,317.6,7/1940,,,,
Bihar,1940,8,314.9,8/1940,,,,
Bihar,1940,9,171.6,9/1940,,,,
Bihar,1940,10,4.9,10/1940,,,,
Bihar,1941,7,248.8,7/1941,,,,
Bihar,1941,8,466.0,8/1941,,,,
Bihar,1941,9,190.2,9/1941,,,,
Bihar,1941,10,47.8,10/1941,,,,
Bihar,1942,7,253.5,7/1942,,,,
Bihar,1942,8,330.4,8/1942,,,,
Bihar,1942,9,347.2,9/1942,,,,
Bihar,1942,10,7.0,10/1942,,,,
Bihar,1943,7,296.0,7/1943,,,,
Bihar,1943,8,322.1,8/1943,,,,
Bihar,1943,9,215.4,9/1943,,,,
Bihar,1943,10,37.0,10/1943,,,,
Bihar,1944,7,253.5,7/1944,,,,
Bihar,1944,8,322.8,8/1944,,,,
Bihar,1944,9,221.3,9/1944,,,,
Bihar,1944,10,48.5,10/1944,,,,
Bihar,1945,7,226.9,7/1945,,,,
Bihar,1945,8,265.6,8/1945,,,,
Bihar,1945,9,305.5,9/1945,,,,
Bihar,1945,10,154.8,10/1945,,,,
Bihar,1946,7,354.7,7/1946,,,,
Bihar,1946,8,267.8,8/1946,,,,
Bihar,1946,9,271.8,9/1946,,,,
Bihar,1946,10,148.7,10/1946,,,,
Bihar,1947,7,394.4,7/1947,,,,
Bihar,1947,8,244.6,8/1947,,,,
Bihar,1947,9,215.3,9/1947,,,,
Bihar,1947,10,61.5,10/1947,,,,
Bihar,1948,7,409.0,7/1948,,,,
Bihar,1948,8,329.8,8/1948,,,,
Bihar,1948,9,248.9,9/1948,,,,
Bihar,1948,10,81.0,10/1948,,,,
Bihar,1949,7,341.7,7/1949,,,,
Bihar,1949,8,386.5,8/1949,,,,
Bihar,1949,9,217.9,9/1949,,,,
Bihar,1949,10,103.4,10/1949,,,,
Bihar,1950,7,257.0,7/1950,,,,
Bihar,1950,8,313.3,8/1950,,,,
Bihar,1950,9,113.4,9/1950,,,,
Bihar,1950,10,3.0,10/1950,,,,
Bihar,1951,7,307.8,7/1951,,,,
Bihar,1951,8,204.5,8/1951,,,,
Bihar,1951,9,114.3,9/1951,,,,
Bihar,1951,10,28.7,10/1951,,,,
Bihar,1952,7,212.5,7/1952,,,,
Bihar,1952,8,291.9,8/1952,,,,
Bihar,1952,9,297.7,9/1952,,,,
Bihar,1952,10,15.4,10/1952,,,,
Bihar,1953,7,431.8,7/1953,,,,
Bihar,1953,8,263.3,8/1953,,,,
Bihar,1953,9,342.2,9/1953,,,,
Bihar,1953,10,18.4,10/1953,,,,
Bihar,1954,7,366.1,7/1954,,,,
Bihar,1954,8,308.6,8/1954,,,,
Bihar,1954,9,129.5,9/1954,,,,
Bihar,1954,10,15.1,10/1954,,,,
Bihar,1955,7,505.7,7/1955,,,,
Bihar,1955,8,268.7,8/1955,,,,
Bihar,1955,9,192.2,9/1955,,,,
Bihar,1955,10,35.7,10/1955,,,,
Bihar,1956,7,200.6,7/1956,,,,
Bihar,1956,8,286.3,8/1956,,,,
Bihar,1956,9,359.8,9/1956,,,,
Bihar,1956,10,168.8,10/1956,,,,
Bihar,1957,7,334.5,7/1957,,,,
Bihar,1957,8,295.8,8/1957,,,,
Bihar,1957,9,115.2,9/1957,,,,
Bihar,1957,10,11.6,10/1957,,,,
Bihar,1958,7,222.8,7/1958,,,,
Bihar,1958,8,451.1,8/1958,,,,
Bihar,1958,9,224.2,9/1958,,,,
Bihar,1958,10,81.5,10/1958,,,,
Bihar,1959,7,245.8,7/1959,,,,
Bihar,1959,8,264.2,8/1959,,,,
Bihar,1959,9,157.1,9/1959,,,,
Bihar,1959,10,233.8,10/1959,,,,
Bihar,1960,7,357.4,7/1960,,,,
Bihar,1960,8,285.5,8/1960,,,,
Bihar,1960,9,348.1,9/1960,,,,
Bihar,1960,10,37.9,10/1960,,,,
Bihar,1961,7,211.6,7/1961,,,,
Bihar,1961,8,317.5,8/1961,,,,
Bihar,1961,9,157.5,9/1961,,,,
Bihar,1961,10,236.0,10/1961,,,,
Bihar,1962,7,244.3,7/1962,,,,
Bihar,1962,8,395.4,8/1962,,,,
Bihar,1962,9,216.3,9/1962,,,,
Bihar,1962,10,72.5,10/1962,,,,
Bihar,1963,7,375.4,7/1963,,,,
Bihar,1963,8,273.5,8/1963,,,,
Bihar,1963,9,255.7,9/1963,,,,
Bihar,1963,10,138.7,10/1963,,,,
Bihar,1964,7,453.6,7/1964,,,,
Bihar,1964,8,157.7,8/1964,,,,
Bihar,1964,9,219.0,9/1964,,,,
Bihar,1964,10,66.3,10/1964,,,,
Bihar,1965,7,302.2,7/1965,,,,
Bihar,1965,8,328.3,8/1965,,,,
Bihar,1965,9,215.0,9/1965,,,,
Bihar,1965,10,22.2,10/1965,,,,
Bihar,1966,7,155.5,7/1966,,,,
Bihar,1966,8,308.3,8/1966,,,,
Bihar,1966,9,83.1,9/1966,,,,
Bihar,1966,10,18.3,10/1966,,,,
Bihar,1967,7,278.2,7/1967,,,,
Bihar,1967,8,282.1,8/1967,,,,
Bihar,1967,9,253.8,9/1967,,,,
Bihar,1967,10,10.3,10/1967,,,,
Bihar,1968,7,329.6,7/1968,,,,
Bihar,1968,8,293.1,8/1968,,,,
Bihar,1968,9,79.2,9/1968,,,,
Bihar,1968,10,113.3,10/1968,,,,
Bihar,1969,7,348.4,7/1969,,,,
Bihar,1969,8,379.4,8/1969,,,,
Bihar,1969,9,219.1,9/1969,,,,
Bihar,1969,10,15.3,10/1969,,,,
Bihar,1970,7,284.2,7/1970,,,,
Bihar,1970,8,235.6,8/1970,,,,
Bihar,1970,9,229.5,9/1970,,,,
Bihar,1970,10,34.5,10/1970,,,,
Bihar,1971,7,307.0,7/1971,,,,
Bihar,1971,8,367.9,8/1971,,,,
Bihar,1971,9,129.2,9/1971,,,,
Bihar,1971,10,138.6,10/1971,,,,
Bihar,1972,7,163.4,7/1972,,,,
Bihar,1972,8,154.9,8/1972,,,,
Bihar,1972,9,209.7,9/1972,,,,
Bihar,1972,10,48.4,10/1972,,,,
Bihar,1973,7,185.1,7/1973,,,,
Bihar,1973,8,258.9,8/1973,,,,
Bihar,1973,9,271.4,9/1973,,,,
Bihar,1973,10,158.2,10/1973,,,,
Bihar,1974,7,451.6,7/1974,,,,
Bihar,1974,8,317.5,8/1974,,,,
Bihar,1974,9,229.2,9/1974,,,,
Bihar,1974,10,28.0,10/1974,,,,
Bihar,1975,7,403.1,7/1975,,,,
Bihar,1975,8,155.2,8/1975,,,,
Bihar,1975,9,245.3,9/1975,,,,
Bihar,1975,10,51.7,10/1975,,,,
Bihar,1976,7,221.0,7/1976,,,,
Bihar,1976,8,292.8,8/1976,,,,
Bihar,1976,9,372.6,9/1976,,,,
Bihar,1976,10,22.4,10/1976,,,,
Bihar,1977,7,375.5,7/1977,,,,
Bihar,1977,8,266.0,8/1977,,,,
Bihar,1977,9,121.0,9/1977,,,,
Bihar,1977,10,147.1,10/1977,,,,
Bihar,1978,7,313.6,7/1978,,,,
Bihar,1978,8,252.6,8/1978,,,,
Bihar,1978,9,248.6,9/1978,,,,
Bihar,1978,10,142.8,10/1978,,,,
Bihar,1979,7,435.5,7/1979,,,,
Bihar,1979,8,166.1,8/1979,,,,
Bihar,1979,9,113.0,9/1979,,,,
Bihar,1979,10,88.5,10/1979,,,,
Bihar,1980,7,389.9,7/1980,,,,
Bihar,1980,8,375.3,8/1980,,,,
Bihar,1980,9,190.5,9/1980,,,,
Bihar,1980,10,29.5,10/1980,,,,
Bihar,1981,7,580.1,7/1981,,,,
Bihar,1981,8,311.3,8/1981,,,,
Bihar,1981,9,168.8,9/1981,,,,
Bihar,1981,10,1.0,10/1981,,,,
Bihar,1982,7,227.2,7/1982,,,,
Bihar,1982,8,164.5,8/1982,,,,
Bihar,1982,9,170.5,9/1982,,,,
Bihar,1982,10,42.1,10/1982,,,,
Bihar,1983,7,353.8,7/1983,,,,
Bihar,1983,8,195.8,8/1983,,,,
Bihar,1983,9,220.6,9/1983,,,,
Bihar,1983,10,69.9,10/1983,,,,
Bihar,1984,7,476.4,7/1984,,,,
Bihar,1984,8,216.9,8/1984,,,,
Bihar,1984,9,219.0,9/1984,,,,
Bihar,1984,10,15.4,10/1984,,,,
Bihar,1985,7,481.5,7/1985,,,,
Bihar,1985,8,238.0,8/1985,,,,
Bihar,1985,9,289.0,9/1985,,,,
Bihar,1985,10,188.0,10/1985,,,,
Bihar,1986,7,395.7,7/1986,,,,
Bihar,1986,8,263.5,8/1986,,,,
Bihar,1986,9,221.1,9/1986,,,,
Bihar,1986,10,124.2,10/1986,,,,
Bihar,1987,7,452.0,7/1987,,,,
Bihar,1987,8,539.8,8/1987,,,,
Bihar,1987,9,379.7,9/1987,,,,
Bihar,1987,10,52.8,10/1987,,,,
Bihar,1988,7,364.5,7/1988,,,,
Bihar,1988,8,459.4,8/1988,,,,
Bihar,1988,9,153.2,9/1988,,,,
Bihar,1988,10,33.7,10/1988,,,,
Bihar,1989,7,446.0,7/1989,,,,
Bihar,1989,8,171.9,8/1989,,,,
Bihar,1989,9,330.9,9/1989,,,,
Bihar,1989,10,28.2,10/1989,,,,
Bihar,1990,7,485.5,7/1990,,,,
Bihar,1990,8,204.4,8/1990,,,,
Bihar,1990,9,201.2,9/1990,,,,
Bihar,1990,10,49.7,10/1990,,,,
Bihar,1991,7,179.7,7/1991,,,,
Bihar,1991,8,324.2,8/1991,1991.0,8.0,1.0,ROSERA
Bihar,1991,8,324.2,8/1991,1991.0,8.0,1.0,KHAGARIA
Bihar,1991,9,270.5,9/1991,1991.0,9.0,1.0,KHAGARIA
Bihar,1991,10,7.2,10/1991,,,,
Bihar,1992,7,284.8,7/1992,,,,
Bihar,1992,8,219.2,8/1992,,,,
Bihar,1992,9,85.9,9/1992,1992.0,9.0,1.0,KHAGARIA
Bihar,1992,10,52.4,10/1992,,,,
Bihar,1993,7,209.1,7/1993,1993.0,7.0,1.0,SIKANDERPUR
Bihar,1993,7,209.1,7/1993,1993.0,7.0,1.0,SAMASTIPUR
Bihar,1993,7,209.1,7/1993,1993.0,7.0,1.0,ROSERA
Bihar,1993,8,357.3,8/1993,1993.0,8.0,1.0,SIKANDERPUR
Bihar,1993,8,357.3,8/1993,1993.0,8.0,1.0,SAMASTIPUR
Bihar,1993,9,320.0,9/1993,1993.0,9.0,1.0,SAMASTIPUR
Bihar,1993,9,320.0,9/1993,1993.0,9.0,1.0,ROSERA
Bihar,1993,9,320.0,9/1993,1993.0,9.0,1.0,KHAGARIA
Bihar,1993,10,34.3,10/1993,,,,
Bihar,1994,7,217.7,7/1994,,,,
Bihar,1994,8,257.6,8/1994,1994.0,8.0,1.0,ROSERA
Bihar,1994,8,257.6,8/1994,1994.0,8.0,1.0,KHAGARIA
Bihar,1994,9,226.5,9/1994,1994.0,9.0,1.0,LALBEGHIAGHAT
Bihar,1994,9,226.5,9/1994,1994.0,9.0,1.0,SIKANDERPUR
Bihar,1994,9,226.5,9/1994,1994.0,9.0,1.0,SAMASTIPUR
Bihar,1994,9,226.5,9/1994,1994.0,9.0,1.0,ROSERA
Bihar,1994,9,226.5,9/1994,1994.0,9.0,1.0,KHAGARIA
Bihar,1994,10,32.9,10/1994,1994.0,10.0,1.0,ROSERA
Bihar,1995,7,227.5,7/1995,,,,
Bihar,1995,8,335.7,8/1995,1995.0,8.0,1.0,SAMASTIPUR
Bihar,1995,9,279.1,9/1995,1995.0,9.0,1.0,KHAGARIA
Bihar,1995,10,11.4,10/1995,,,,
Bihar,1996,7,238.5,7/1996,1996.0,7.0,1.0,SAMASTIPUR
Bihar,1996,7,238.5,7/1996,1996.0,7.0,1.0,ROSERA
Bihar,1996,8,350.9,8/1996,1996.0,8.0,1.0,SAMASTIPUR
Bihar,1996,8,350.9,8/1996,1996.0,8.0,1.0,ROSERA
Bihar,1996,8,350.9,8/1996,1996.0,8.0,1.0,KHAGARIA
Bihar,1996,9,162.5,9/1996,1996.0,9.0,1.0,SAMASTIPUR
Bihar,1996,9,162.5,9/1996,1996.0,9.0,1.0,KHAGARIA
Bihar,1996,10,66.2,10/1996,,,,
Bihar,1997,7,463.9,7/1997,,,,
Bihar,1997,8,287.6,8/1997,,,,
Bihar,1997,9,185.8,9/1997,,,,
Bihar,1997,10,27.8,10/1997,,,,
Bihar,1998,7,465.1,7/1998,1998.0,7.0,1.0,LALBEGHIAGHAT
Bihar,1998,7,465.1,7/1998,1998.0,7.0,1.0,SIKANDERPUR
Bihar,1998,7,465.1,7/1998,1998.0,7.0,1.0,SAMASTIPUR
Bihar,1998,7,465.1,7/1998,1998.0,7.0,1.0,ROSERA
Bihar,1998,8,377.4,8/1998,1998.0,8.0,1.0,LALBEGHIAGHAT
Bihar,1998,8,377.4,8/1998,1998.0,8.0,1.0,SIKANDERPUR
Bihar,1998,8,377.4,8/1998,1998.0,8.0,1.0,SAMASTIPUR
Bihar,1998,8,377.4,8/1998,1998.0,8.0,1.0,ROSERA
Bihar,1998,8,377.4,8/1998,1998.0,8.0,1.0,KHAGARIA
Bihar,1998,9,188.0,9/1998,1998.0,9.0,1.0,SIKANDERPUR
Bihar,1998,9,188.0,9/1998,1998.0,9.0,1.0,SAMASTIPUR
Bihar,1998,9,188.0,9/1998,1998.0,9.0,1.0,ROSERA
Bihar,1998,9,188.0,9/1998,1998.0,9.0,1.0,KHAGARIA
Bihar,1998,10,83.0,10/1998,,,,
Bihar,1999,7,380.8,7/1999,1999.0,7.0,1.0,SAMASTIPUR
Bihar,1999,7,380.8,7/1999,1999.0,7.0,1.0,ROSERA
Bihar,1999,8,347.5,8/1999,1999.0,8.0,1.0,SIKANDERPUR
Bihar,1999,8,347.5,8/1999,1999.0,8.0,1.0,SAMASTIPUR
Bihar,1999,8,347.5,8/1999,1999.0,8.0,1.0,ROSERA
Bihar,1999,8,347.5,8/1999,1999.0,8.0,1.0,KHAGARIA
Bihar,1999,9,199.6,9/1999,1999.0,9.0,1.0,SIKANDERPUR
Bihar,1999,9,199.6,9/1999,1999.0,9.0,1.0,SAMASTIPUR
Bihar,1999,9,199.6,9/1999,1999.0,9.0,1.0,ROSERA
Bihar,1999,9,199.6,9/1999,1999.0,9.0,1.0,KHAGARIA
Bihar,1999,10,114.1,10/1999,,,,
Bihar,2000,7,264.3,7/2000,2000.0,7.0,1.0,KHAGARIA
Bihar,2000,8,201.4,8/2000,,,,
Bihar,2000,9,314.8,9/2000,,,,
Bihar,2000,10,9.6,10/2000,,,,
Bihar,2001,7,224.7,7/2001,2001.0,7.0,1.0,KHAGARIA
Bihar,2001,8,225.9,8/2001,2001.0,8.0,1.0,LALBEGHIAGHAT
Bihar,2001,8,225.9,8/2001,2001.0,8.0,1.0,SIKANDERPUR
Bihar,2001,8,225.9,8/2001,2001.0,8.0,1.0,SAMASTIPUR
Bihar,2001,8,225.9,8/2001,2001.0,8.0,1.0,ROSERA
Bihar,2001,8,225.9,8/2001,2001.0,8.0,1.0,KHAGARIA
Bihar,2001,9,274.8,9/2001,2001.0,9.0,1.0,LALBEGHIAGHAT
Bihar,2001,9,274.8,9/2001,2001.0,9.0,1.0,SIKANDERPUR
Bihar,2001,9,274.8,9/2001,2001.0,9.0,1.0,SAMASTIPUR
Bihar,2001,9,274.8,9/2001,2001.0,9.0,1.0,ROSERA
Bihar,2001,9,274.8,9/2001,2001.0,9.0,1.0,KHAGARIA
Bihar,2001,10,181.3,10/2001,2001.0,10.0,1.0,SAMASTIPUR
Bihar,2001,10,181.3,10/2001,2001.0,10.0,1.0,ROSERA
Bihar,2002,7,386.1,7/2002,2002.0,7.0,1.0,LALBEGHIAGHAT
Bihar,2002,7,386.1,7/2002,2002.0,7.0,1.0,SIKANDERPUR
Bihar,2002,7,386.1,7/2002,2002.0,7.0,1.0,SAMASTIPUR
Bihar,2002,7,386.1,7/2002,2002.0,7.0,1.0,ROSERA
Bihar,2002,8,247.7,8/2002,2002.0,8.0,1.0,SIKANDERPUR
Bihar,2002,8,247.7,8/2002,2002.0,8.0,1.0,SAMASTIPUR
Bihar,2002,9,192.8,9/2002,,,,
Bihar,2002,10,33.8,10/2002,,,,
Bihar,2003,7,356.8,7/2003,2003.0,7.0,1.0,LALBEGHIAGHAT
Bihar,2003,7,356.8,7/2003,2003.0,7.0,1.0,SIKANDERPUR
Bihar,2003,7,356.8,7/2003,2003.0,7.0,1.0,SAMASTIPUR
Bihar,2003,7,356.8,7/2003,2003.0,7.0,1.0,ROSERA
Bihar,2003,8,310.6,8/2003,2003.0,8.0,1.0,SIKANDERPUR
Bihar,2003,8,310.6,8/2003,2003.0,8.0,1.0,SAMASTIPUR
Bihar,2003,8,310.6,8/2003,2003.0,8.0,1.0,ROSERA
Bihar,2003,8,310.6,8/2003,2003.0,8.0,1.0,KHAGARIA
Bihar,2003,9,183.9,9/2003,2003.0,9.0,1.0,SAMASTIPUR
Bihar,2003,9,183.9,9/2003,2003.0,9.0,1.0,ROSERA
Bihar,2003,9,183.9,9/2003,2003.0,9.0,1.0,KHAGARIA
Bihar,2003,10,142.0,10/2003,2003.0,10.0,1.0,KHAGARIA
Bihar,2004,7,418.4,7/2004,2004.0,7.0,1.0,LALBEGHIAGHAT
Bihar,2004,7,418.4,7/2004,2004.0,7.0,1.0,SIKANDERPUR
Bihar,2004,7,418.4,7/2004,2004.0,7.0,1.0,SAMASTIPUR
Bihar,2004,7,418.4,7/2004,2004.0,7.0,1.0,ROSERA
Bihar,2004,8,175.9,8/2004,2004.0,8.0,1.0,SAMASTIPUR
Bihar,2004,9,115.3,9/2004,,,,
Bihar,2004,10,56.4,10/2004,,,,
Bihar,2005,7,300.0,7/2005,,,,
Bihar,2005,8,309.1,8/2005,2005.0,8.0,1.0,LALBEGHIAGHAT
Bihar,2005,8,309.1,8/2005,2005.0,8.0,1.0,SIKANDERPUR
Bihar,2005,8,309.1,8/2005,2005.0,8.0,1.0,SAMASTIPUR
Bihar,2005,8,309.1,8/2005,2005.0,8.0,1.0,ROSERA
Bihar,2005,8,309.1,8/2005,2005.0,8.0,1.0,KHAGARIA
Bihar,2005,9,105.1,9/2005,2005.0,9.0,1.0,LALBEGHIAGHAT
Bihar,2005,9,105.1,9/2005,2005.0,9.0,1.0,SIKANDERPUR
Bihar,2005,9,105.1,9/2005,2005.0,9.0,1.0,SAMASTIPUR
Bihar,2005,9,105.1,9/2005,2005.0,9.0,1.0,ROSERA
Bihar,2005,9,105.1,9/2005,2005.0,9.0,1.0,KHAGARIA
Bihar,2005,10,34.3,10/2005,,,,
Bihar,2006,7,290.7,7/2006,2006.0,7.0,1.0,ROSERA
Bihar,2006,8,160.4,8/2006,2006.0,8.0,1.0,ROSERA
Bihar,2006,8,160.4,8/2006,2006.0,8.0,1.0,KHAGARIA
Bihar,2006,9,285.2,9/2006,,,,
Bihar,2006,10,17.6,10/2006,,,,
Bihar,2007,7,549.4,7/2007,,,,
Bihar,2007,8,340.6,8/2007,,,,
Bihar,2007,9,309.0,9/2007,,,,
Bihar,2007,10,39.6,10/2007,,,,
Bihar,2008,7,397.2,7/2008,,,,
Bihar,2008,8,278.1,8/2008,,,,
Bihar,2008,9,117.1,9/2008,,,,
Bihar,2008,10,21.4,10/2008,,,,
Bihar,2009,7,213.6,7/2009,,,,
Bihar,2009,8,298.9,8/2009,,,,
Bihar,2009,9,127.6,9/2009,,,,
Bihar,2009,10,72.6,10/2009,,,,
Bihar,2010,7,191.2,7/2010,,,,
Bihar,2010,8,158.4,8/2010,,,,
Bihar,2010,9,105.7,9/2010,,,,
Bihar,2010,10,33.6,10/2010,,,,
Bihar,2011,7,241.1,7/2011,,,,
Bihar,2011,8,278.7,8/2011,,,,
Bihar,2011,9,234.1,9/2011,,,,
Bihar,2011,10,10.0,10/2011,,,,
Bihar,2012,7,354.0,7/2012,,,,
Bihar,2012,8,240.4,8/2012,,,,
Bihar,2012,9,233.8,9/2012,,,,
Bihar,2012,10,34.3,10/2012,,,,
Bihar,2013,7,182.0,7/2013,,,,
Bihar,2013,8,213.6,8/2013,,,,
Bihar,2013,9,143.3,9/2013,,,,
Bihar,2013,10,197.1,10/2013,,,,
Bihar,2014,7,265.4,7/2014,,,,
Bihar,2014,8,307.6,8/2014,,,,
Bihar,2014,9,160.3,9/2014,,,,
Bihar,2014,10,47.8,10/2014,,,,
Bihar,2015,7,231.5,7/2015,,,,
Bihar,2015,8,287.0,8/2015,,,,
Bihar,2015,9,101.7,9/2015,,,,
Bihar,2015,10,10.4,10/2015,,,,
